Ranking;Nombre;Ventas;CNAE_Original;SECTOR_NOMBRE;NIF;ventas_estimado;patentes;confianza;criterio;ano_constitucion;poblacion;numero_empleados;web_oficial;actividad_resumen;tamano_ing;complejidad_txt;cto_actual;propiedad_accionistas;private_equity_firmas;financiacion_publica_detalle;usa_inteligencia_artificial;plataforma_cloud;solvencia_txt;puntos_solv;perfil_txt;veredicto_final;conclusion_sueldo_80k;justificacion_viabilidad;score_viabilidad;provincia
1;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, SA;1.861.621.350;3020;Fabricación de locomotoras y material ferroviario;A20001020;1861621350;37;0.94;Fuzzy Match (CONSTRUCCIONES Y AUX DE FERROCARRILES);1917;Beasain;16.333 (Wikipedia);www.caf.net;Fabricación de trenes, autobuses, componentes y sistemas de señalización y soluciones integrales de movilidad.;~500-1000 técnicos;Empresa industrial de alta tecnología con un fuerte componente de ingeniería de hardware (mecánica, electrónica) y un creciente enfoque en software, IoT y IA para señalización, mantenimiento predictivo y sistemas inteligentes.;Iosu Ibarbia - CTO (CAF Innovation);Cartera Social, S.A. (23.78%), Kutxabank, S.A. (a través de BBK), Danimar 1990 S.L., Global Portfolio Investments, S.L. y otros institucionales y minoritarios.;Ninguno;Participa en proyectos europeos como el IPCEI-CIS, sugiriendo acceso a financiación pública para I+D.;SÍ. Utiliza IA en sistemas de visión artificial para análisis de ocupación y seguridad en trenes, así como para el mantenimiento predictivo de su flota.;HÍBRIDA;Empresa cotizada en el IBEX con ingresos de 4.212 millones de euros en 2024, lo que demuestra una alta solidez financiera.;Máximo;Híbrido Hardware/Software (Ingenieros mecánicos, electrónicos, de software, de datos, telecomunicaciones).;TIBURÓN;VIABLE;🟢 VIABLE (56/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8);56.0;guipúzcoa
2;ESTACIONES DE SERVICIO DE GUIPUZCOA SA;987.678.000;4671;Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares;A20072070;987678000;0;0.0;Sin match;1981;Donostia - San Sebastián;70 (EINF);www.aviaenergias.es;Operador petrolífero independiente dedicado al comercio al por mayor de combustibles, lubricantes y otros productos energéticos.;~5-10 técnicos;La empresa gestiona una red de estaciones de servicio y una terminal de almacenamiento automatizada. Su enfoque tecnológico parece centrarse en la logística y distribución, más que en el desarrollo de software propio a gran escala. Han invertido en startups de sectores afines.;No identificado públicamente;El accionariado está compuesto por propietarios de estaciones de servicio que operan bajo la marca AVIA.;Ninguno;COFIDES ha concedido un préstamo de coinversión de 1 millón de euros para su establecimiento en México.;NO. No se ha encontrado evidencia pública del uso de inteligencia artificial en sus operaciones principales.;Sin datos;Empresa de gran tamaño con un volumen de negocio elevado, posicionada entre las principales empresas de Gipuzkoa y del sector a nivel nacional. Ha recibido financiación para su expansión internacional.;Alto;Híbrido, con un posible enfoque en ingeniería industrial, logística y sistemas para la gestión de la distribución de hidrocarburos y operaciones de la terminal.;PYME;POSIBLE;🟡 POSIBLE (43/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 70 empleados (+8) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ❌ Sector bajo salario (-10);43.0;guipúzcoa
3;ARCELORMITTAL OLABERRIA-BERGARA SL.;811.806.000;2410;Fabricación de productos básicos de hierro, acero y ferroaleaciones;B20435301;811806000;0;0.0;Sin match;1992;Olaberria;535 (eInforma/Empresite);www.spain.arcelormittal.com;Fabricación y comercialización de perfiles de acero laminado para construcción e industria naval.;~30-50 técnicos;Industria pesada 4.0 con enfoque en automatización de procesos industriales, robótica y sensórica (IoT) para la optimización de la producción siderúrgica. Mantenimiento predictivo.;No identificado públicamente a nivel de planta;ARCELORMITTAL LONG PRODUCTS EUROPE HOLDING SARL. El grupo ArcelorMittal cotiza en bolsa, con la familia Mittal como principal accionista.;Ninguno;Sin datos;SÍ - Probable uso en optimización de procesos productivos, mantenimiento predictivo y control de calidad, aunque no se detalla públicamente el alcance específico en la planta.;HÍBRIDA (Inferido por la escala y necesidades de una multinacional industrial);Filial de ArcelorMittal, la mayor siderúrgica mundial, con ventas de 8118.1M€ para esta filial, lo que garantiza una elevada capacidad financiera.;Máximo;Híbrido Hardware/Software, con fuerte componente de ingeniería industrial, automatización y control de procesos.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (76/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 535 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8) | ⚠️ Sector industrial (+5);76.0;guipúzcoa
6;DACHSER SPAIN SA.;445.441.255;5221;Actividades anexas al transporte terrestre;A20006607;445441255;0;0.0;Sin match;1947;Donostia-San Sebastián;2070 (eInforma);www.dachser.es;Logística y transporte de mercancías a nivel nacional e internacional, incluyendo soluciones de almacenaje.;~25-35 técnicos;Desarrollo y mantenimiento de software propio de gestión logística (Domino, Mikado, Othello, BiDEA), con aplicación de IA para la optimización de procesos y trazabilidad.;No identificado públicamente;Empresa familiar alemana (Grupo DACHSER);Ninguno;Sin datos;SÍ, para optimizar y mejorar la eficiencia de la cadena de suministro, automatizar procesos y mejorar la visibilidad.;HÍBRIDA;Facturación superior a los 60 millones de euros y pertenece a un grupo multinacional consolidado.;Máximo;Híbrido Software/Sistemas con especialización en logística y optimización de procesos.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (71/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 2070 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8);71.0;guipúzcoa
8;IPARLAT SA;342.105.383;4633;Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;A31003031;342105383;2;1.0;Exacto (Normalizado);1953;Urnieta;~500 (SPRI);www.iparlat.com;Fabricación y comercialización de productos lácteos y bebidas vegetales para grandes distribuidores.;~20-30 técnicos;Industria 4.0: Fuerte componente de automatización industrial (OT/IT), MES, IIoT y SAP. Innovación en producto con I+D+i propio y colaboraciones (ej. machine learning).;No identificado públicamente;Accionista mayoritario es Kaiku S.Coop. (51%). Kaiku Corporación Alimentaria (Grupo Emmi) posee un 9.64%.;Ninguno;SPRI (Hazinnova), Gobierno Vasco y fondos de la UE (ICEX, FEADER).;SÍ. Utilizan machine learning en proyectos de I+D para el desarrollo de nuevos productos y la optimización de formulaciones.;HÍBRIDA. Fuerte presencia ON-PREMISE por la naturaleza industrial (MES, IIoT), con posible uso de cloud para analítica de datos, I+D y nuevas aplicaciones de digitalización.;Facturación >400M€ en 2023 y participada mayoritariamente por la cooperativa Kaiku y el grupo internacional Emmi.;Máximo;Híbrido: Ingenieros de automatización/industriales (OT/IT, MES, SCADA) y técnicos de I+D+i con capacidades en ciencia de datos/software para innovación de producto.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (71/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 500 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8);71.0;guipúzcoa
10;AYESA IBERMATICA SA.;281.483.377;6209;Otros servicios relacionados con las tecnologías de la información y la informática;A20038915;281483377;0;0.0;Sin match;1973;Donostia/San Sebastián;3626 (eInforma);www.ayesa.com;Proveedor global de servicios tecnológicos y de ingeniería, con foco en la transformación digital.;~4000-5000 técnicos;Amplia gama de servicios IT: Data & AI, Cloud, Ciberseguridad, ERP, desarrollo de software e ingeniería.;No identificado públicamente;Consorcio vasco (Kutxabank, Fundación BBK, Gobierno Vasco, Teknei) adquirió Ayesa Digital (incluye Ibermática).;A&M Capital Europe (anterior accionista mayoritario de Ayesa).;El Gobierno Vasco es parte del consorcio comprador, lo que sugiere un fuerte respaldo público.;SÍ, ofrece servicios de Data & AI, analítica avanzada de datos y utiliza IA Generativa y modelos GPT de Azure Open AI en proyectos.;AZURE;Adquirida por un consorcio vasco por 480M€. El grupo Ayesa, tras integrar Ibermática, supera los 700M€ de facturación.;Máximo;Híbrido entre consultoría de software (IA, Cloud, Ciberseguridad) e ingeniería tradicional.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (83/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 3626 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Cloud público (+5) | ✅ Usa IA (+8) | ✅ Con PE/VC (+5) | ⚠️ Sector industrial (+5);83.0;guipúzcoa
12;ULMA PACKAGING S COOP;252.691.000;2829;Fabricación de otra maquinaria de uso general n.c.o.p.;F75058347;252691000;8;1.0;Exacto (Normalizado);2002;Oñati;1222 (eInforma);www.ulmapackaging.com;Diseño y fabricación de máquinas, sistemas y servicios de envase y embalaje.;~100-150 técnicos;Hardware/Software: Fabricación de maquinaria avanzada (termoformado, termosellado, etc.) con un fuerte componente de automatización, robótica, IoT para control de procesos y conectividad con sistemas MES/ERP.;No identificado públicamente;Sociedad Cooperativa, parte del Grupo ULMA.;Ninguno;CDTI/Hazitek/SPRI/Otros;SÍ, en aplicaciones de visión artificial para mejorar la calidad y eficiencia del envasado y en mantenimiento predictivo.;HÍBRIDA;Facturación superior a 252M€ en 2023 y resultado positivo de 23.3M€. Empresa consolidada y líder en su sector.;Máximo;Híbrido Hardware/Software (Ingenieros mecánicos, electrónicos, de automatización y software).;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (76/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 1222 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8) | ✅ I+D público (+5);76.0;guipúzcoa
13;PAPELERA GUIPUZCOANA DE ZICUÑAGA SA;231.423.000;1712;Fabricación de papel y cartón;A20003216;231423000;3;1.0;Exacto (Normalizado);1935;Hernani;200 (Empresite);www.iberpapel.es;Fabricación integrada de pasta de celulosa, papel y energía, perteneciente al Grupo Iberpapel.;~5-10 técnicos;Infraestructura on-premise con virtualización (VMware), BBDD Oracle/SQL/PostgreSQL y foco en ciberseguridad (ISO 27001).;No identificado públicamente;Filial del grupo Iberpapel Gestión S.A., una empresa cotizada en bolsa.;Ninguno;Sin datos;NO. Los informes anuales se centran en la innovación de procesos industriales y la eficiencia energética, sin mencionar proyectos de IA.;ON-PREMISE/HÍBRIDA;Empresa consolidada con una facturación de 2314.2M€ y perteneciente a un grupo cotizado (Iberpapel).;Máximo;Híbrido entre sistemas, redes y ciberseguridad en un entorno industrial.;TIBURÓN;VIABLE;🟢 VIABLE (65/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 200 empleados (+12) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ⚠️ Sector industrial (+5);65.0;guipúzcoa
14;INGETEAM INDAR MACHINES SA.;214.753.159;2711;Fabricación de motores, generadores y transformadores eléctricos;A20597993;214753159;1;1.0;Exacto (Normalizado);1997;Beasain;810 (eInforma);www.ingeteam.com;Diseño y fabricación de máquinas eléctricas rotativas, motores, generadores y convertidores de frecuencia.;~100-150 técnicos;Hardware y software para la conversión de energía en sectores eólico, fotovoltaico, hidráulico e industrial. Desarrollan sistemas de control y monitorización para mantenimiento predictivo.;Alberto Guerrero - CTO Converters & Controls Segment (Ingeteam);Ingeteam S.A.;Ninguno;Sin datos;SÍ, en el desarrollo de software para la monitorización y diagnóstico preventivo orientado al mantenimiento predictivo de plantas, procesos y máquinas.;HÍBRIDA;Empresa consolidada con una facturación de 2147.5M€ y una larga trayectoria en el sector industrial y energético. Contratos significativos con grandes empresas como Iberdrola.;Máximo;Híbrido Hardware/Software con un fuerte componente de ingeniería eléctrica y de potencia.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (71/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 810 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8);71.0;guipúzcoa
15;ANGULAS AGUINAGA SAU;210.822.000;1021;Procesado de pescados, crustáceos y moluscos;A20922811;210822000;15;1.0;Exacto (Normalizado);2006;Irura;623 (eInforma);www.angulas-aguinaga.es;Industrialización y comercialización de productos de alimentación derivados de la pesca y acuicultura.;~10-15 técnicos;Empresa de alimentación con un fuerte componente de I+D+i en el desarrollo de nuevos productos y procesos. Utiliza blockchain para trazabilidad alimentaria.;No identificado públicamente;PAI Partners (participación mayoritaria), Portobello Capital y familia fundadora (participación minoritaria del 49.9%).;PAI Partners, Portobello Capital.;Sin datos;SÍ - Se ha unido a una plataforma de blockchain alimentario, lo que sugiere el uso de tecnologías avanzadas para la trazabilidad de sus productos.;HÍBRIDA;Facturación de 286 millones de euros en 2021 y con el respaldo de importantes firmas de capital riesgo.;Máximo;Híbrido I+D+i (alimentación) y software para la gestión de la cadena de suministro.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (81/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 623 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8) | ✅ Con PE/VC (+5) | ⚠️ Sector industrial (+5);81.0;guipúzcoa
